date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
13May1988,132766,132767,132869,132702,132745,132798
14May1988,133081,133082,133184,133017,133060,133112
15May1988,133412,133413,133516,133349,133391,133444
16May1988,133704,133705,133807,133640,133682,133735
17May1988,134068,134069,134172,134005,134047,134100
18May1988,134322,134322,134425,134258,134300,134353
19May1988,134505,134506,134609,134442,134484,134537
20May1988,134650,134651,134753,134586,134628,134681
21May1988,134784,134785,134887,134720,134762,134815
22May1988,134877,134878,134981,134814,134856,134909
23May1988,134930,134931,135033,134866,134909,134961
24May1988,134955,134956,135059,134892,134934,134987
25May1988,134953,134954,135056,134890,134932,134985
26May1988,134923,134924,135026,134859,134902,134954
27May1988,134864,134865,134967,134801,134843,134896
28May1988,134854,134855,134957,134790,134833,134885
29May1988,134940,134941,135043,134876,134919,134972
30May1988,134966,134967,135069,134903,134945,134998
31May1988,134963,134964,135066,134899,134942,134994
01Jun1988,134931,134932,135034,134868,134910,134963
02Jun1988,134869,134870,134972,134805,134848,134900
03Jun1988,134775,134776,134878,134712,134754,134807
04Jun1988,134666,134667,134770,134603,134645,134698
05Jun1988,134559,134560,134662,134495,134537,134590
