date,Control,OldFireModel_Moderate_Control,OldFireModel_Extreme_Control,Treatment,OldFireModel_Moderate_Treatment,OldFireModel_Extreme_Treatment
30Sep1998,69863,69878,72166,69896,69908,71757
01Oct1998,69704,69719,71997,69737,69749,71581
02Oct1998,69578,69593,71862,69612,69624,71439
03Oct1998,69452,69468,71727,69486,69498,71297
04Oct1998,69195,69210,71492,69228,69240,71056
05Oct1998,68970,68985,71258,69003,69016,70814
06Oct1998,68712,68728,71023,68745,68758,70573
07Oct1998,68454,68470,70756,68487,68500,70299
08Oct1998,68229,68245,70554,68263,68276,70091
09Oct1998,68004,68021,70320,68038,68051,69882
10Oct1998,67747,67763,70053,67780,67793,69608
11Oct1998,67522,67538,69818,67555,67569,69400
12Oct1998,67231,67248,69551,67265,67278,69126
13Oct1998,66940,66957,69250,66974,66987,68818
14Oct1998,66715,66732,68983,66749,66763,68544
15Oct1998,66524,66541,68749,66524,66538,68303
16Oct1998,66266,66283,68448,66267,66281,68029
17Oct1998,65942,65960,68148,65943,65957,67722
18Oct1998,65618,65636,67815,65619,65633,67381
19Oct1998,65361,65378,67580,65361,65376,67140
20Oct1998,65103,65121,67313,65104,65118,66866
21Oct1998,64845,64863,67046,64846,64861,66592
22Oct1998,64653,64671,66877,64654,64668,66416
23Oct1998,64328,64346,66542,64329,64343,66108
24Oct1998,63905,63923,66109,63906,63920,65668
25Oct1998,63548,63567,65710,63549,63564,65295
26Oct1998,63191,63210,65278,63192,63207,64856
27Oct1998,62901,62920,64944,62902,62917,64549
28Oct1998,62709,62728,64677,62710,62726,64275
29Oct1998,62518,62537,64509,62519,62534,64100
30Oct1998,62359,62379,64308,62361,62376,63892
31Oct1998,62164,62185,64209,62167,62182,63760
01Nov1998,62003,62025,64083,62007,61991,63576
02Nov1998,61841,61865,63957,61848,61832,63457
03Nov1998,61713,61739,63831,61722,61706,63306
04Nov1998,61551,61579,63738,61563,61547,63188
05Nov1998,61390,61419,63645,61403,61389,63103
06Nov1998,61195,61227,63453,61211,61197,62885
07Nov1998,60901,60935,63162,60919,60906,62602
08Nov1998,60574,60610,62904,60595,60582,62318
09Nov1998,60347,60384,62745,60369,60357,62101
10Nov1998,60152,60191,62586,60177,60165,61917
11Nov1998,59958,59999,62427,59985,59974,61732
12Nov1998,59829,59839,62334,59826,59815,61647
13Nov1998,59701,59712,62340,59699,59689,61628
14Nov1998,59539,59553,62247,59540,59531,61510
